Journal Abbreviation,Journal Name,Article,Author,Year,Volume
JFE,JOURNAL OF FINANCIAL ECONOMICS,How does the stock market absorb shocks?,"Frank, Murray Z.; Sanati, Ali",2018,
OSTD,ORGANIZATION STUDIES,Investigating the Transformation and Transition Processes Between Dynamic Capabilities: Evidence from DHL,"Prange, Christiane; Bruyaka, Olga; Marmenout, Katty",2018,39
OS,ORGANIZATION SCIENCE,No Firm Is an Island: The Role of Population-Level Actors in Organizational Learning from Failure,"Madsen, Peter M.; Desai, Vinit",2018,
JAP,JOURNAL OF APPLIED PSYCHOLOGY,Sprinting to the Finish: Toward a Theory of Human Capital Resource Complementarity,"Wolfson, Mikhail A.; Mathieu, John E.",2018,103
JBV,JOURNAL OF BUSINESS VENTURING,Funding the story of hybrid ventures: Crowdfunder lending preferences and linguistic hybridity,"Moss, Todd W.; Renko, Maija; Block, Emily; Meyskens, Moriah",2018,
HR,HUMAN RELATIONS,Political ideology and the discursive construction of the multinational hotel industry,"Maclean, Mairi; Harvey, Charles; Suddaby, Roy; O'Gorman, Kevin",2018,
ROFS,REVIEW OF FINANCIAL STUDIES,Trust Busting: The Effect of Fraud on Investor Behavior,"Gurun, Umit G.; Stoffman, Noah; Yonker, Scott E.",2018,
JMIS,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,Impact of User-Generated Internet Content on Hospital Reputational Dynamics,"Ivanov, Anton; Sharman, Raj",2018,
ECMTR,ECONOMETRICA,Dynamic Mixture-Averse Preferences,"Sarver, Todd",2018,
SMJ,STRATEGIC MANAGEMENT JOURNAL,The impact of earnings expectations on corporate downsizing,"Schulz, Ann-Christine; Wiersema, Margarethe F.",2018,39
MS,MANAGEMENT SCIENCE,Hiring Preferences in Online Labor Markets: Evidence of a Female Hiring Bias,"Chan, Jason; Wang, Jing",2018,
JBV,JOURNAL OF BUSINESS VENTURING,Passion for entrepreneurship or passion for the product? A conjoint analysis of angel and VC decision-making,"Warnick, Benjamin J.; Murnieks, Charles Y.; McMullen, Jeffery S.; Brooks, Wade T.",2018,
JAR,JOURNAL OF ACCOUNTING RESEARCH,Disentangling Managers' and Analysts' Non-GAAP Reporting,"Bentley, Jeremiah W.; Christensen, Theodore E.; Gee, Kurt H.; Whipple, Benjamin C.",2018,56
JBV,JOURNAL OF BUSINESS VENTURING,Signaling by early stage startups: US government research grants and venture capital funding,"Islam, Mazhar; Fremeth, Adam; Marcus, Alfred",2018,
JBE,JOURNAL OF BUSINESS ETHICS,When Lying Does Not Pay: How Experts Detect Insurance Fraud,"Warren, Danielle E.; Schweitzer, Maurice E.",2018,
OR,OPERATIONS RESEARCH,Robust Optimization with Ambiguous Stochastic Constraints Under Mean and Dispersion Information,"Postek, Krzysztof; Ben-Tal, Aharon; den Hertog, Dick; Melenberg, Bertrand",2018,
JAE,JOURNAL OF ACCOUNTING & ECONOMICS,Reporting choices in the shadow of bank runs,"Gao, Pingyang; Jiang, Xu",2018,
OS,ORGANIZATION SCIENCE,Taking Trade-offs Seriously: Examining the Contextually Contingent Relationship Between Social Outreach Intensity and Financial Sustainability in Global Microfinance,"Wry, Tyler; Zhao, Eric Yanfei",2018,
AR,ACCOUNTING REVIEW,Are Credit Ratings More Rigorous for Widely Covered Firms?,"Bonsall, Samuel B.; Green, Jeremiah R.; Muller, Karl A., III",2018,93
RP,RESEARCH POLICY,When access to drugs meets catch-up: Insights from the use of CL threats to improve access to ARV drugs in Brazil,"Ramani, Shyama V.; Urias, Eduardo",2018,47
RP,RESEARCH POLICY,Joint ventures and technology adoption: A Chinese industrial policy that backfired,"Howell, Sabrina T.",2018,47
JCP,JOURNAL OF CONSUMER PSYCHOLOGY,Benefiting From Disagreement: Counterarguing Reduces Prechoice Bias in Information Evaluation,"Chaxel, Anne-Sophie; Han, Yegyu",2018,
MS,MANAGEMENT SCIENCE,Team Leadership and Performance: Combining the Roles of Direction and Contribution,"Rahmani, Morvarid; Roels, Guillaume; Karmarkar, Uday S.",2018,64
JBE,JOURNAL OF BUSINESS ETHICS,"Whistleblowing and Information Ethics: Facilitation, Entropy, and Ecopoiesis","Vandekerckhove, Wim",2018,
HBR,HARVARD BUSINESS REVIEW,Organizational Grit,"Lee, Thomas H.; Duckworth, Angela L.",2018,
MS,MANAGEMENT SCIENCE,Microgeography and the Direction of Inventive Activity,"Catalini, Christian",2018,64
JAE,JOURNAL OF ACCOUNTING & ECONOMICS,GDP management to meet or beat growth targets,"Lyu, Changjiang; Wang, Kemin; Zhang, Frank; Zhang, Xin",2018,
JFQA,JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,Market Reaction to Bank Liquidity Regulation,"Bruno, Brunella; Onali, Enrico; Schaeck, Klaus",2018,
JBE,JOURNAL OF BUSINESS ETHICS,How Powerful CFOs Camouflage and Exploit Equity-Based Incentive Compensation,"Collins, Denton; Fleischman, Gary; Kaden, Stacey; Sanchez, Juan Manuel",2018,153
AR,ACCOUNTING REVIEW,Financial Reporting Quality and Uncertainty about Credit Risk among Ratings Agencies,"Akins, Brian",2018,
RP,RESEARCH POLICY,R&D subsidies & external collaborative breadth: Differential gains and the role of collaboration experience,"Chapman, Gary; Lucena, Abel; Afcha, Sergio",2018,
JAP,JOURNAL OF APPLIED PSYCHOLOGY,"When Daily Planning Improves Employee Performance: The Importance of Planning Type, Engagement, and Interruptions","Parke, Michael R.; Weinhardt, Justin M.; Brodsky, Andrew; Tangirala, Subrahmaniam; DeVoe, Sanford E.",2018,
AER,AMERICAN ECONOMIC REVIEW,The Welfare Cost of Perceived Policy Uncertainty: Evidence from Social Security,"Luttmer, Erzo F. P.; Samwick, Andrew A.",2018,
JMS,JOURNAL OF MANAGEMENT STUDIES,Socio-Emotional Wealth Separation and Decision-Making Quality in Family Firm TMTs: The Moderating Role of Psychological Safety,"Vandekerkhof, Pieter; Steijvers, Tensie; Hendriks, Walter; Voordeckers, Wim",2018,
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Throughput Optimization in Circular Dual-Gripper Robotic Cells,"Jung, Kyung Sung; Geismar, H. Neil; Pinedo, Michael; Sriskandarajah, Chelliah",2018,
JF,JOURNAL OF FINANCE,Collateral Constraints and the Law of One Price: An Experiment,"Cipriani, Marco; Fostel, Ana; Houser, Daniel",2018,73
JBE,JOURNAL OF BUSINESS ETHICS,About to Burst: How State Self-Regulation Affects the Enactment of Bullying Behaviors,"McAllister, Charn P.; Perrewe, Pamela L.",2018,153
JFE,JOURNAL OF FINANCIAL ECONOMICS,High frequency trading and extreme price movements,"Brogaard, Jonathan; Carrion, Allen; Moyaert, Thibaut; Riordan, Ryan; Shkilko, Andriy; Sokolov, Konstantin",2018,
JMAN,JOURNAL OF MANAGEMENT,Emotional Mechanisms Linking Incivility at Work to Aggression and Withdrawal at Home: An Experience-Sampling Study,"Lim, Sandy; Ilies, Remus; Koopman, Joel; Christoforou, Paraskevi; Arvey, Richard D.",2018,
ROES,REVIEW OF ECONOMIC STUDIES,Observations on Cooperation,"Heller, Yuval; Mohlin, Erik",2018,85
OR,OPERATIONS RESEARCH,Budget Feasible Procurement Auctions,"Anari, Nima; Goel, Gagan; Nikzad, Afshin",2018,
CAR,CONTEMPORARY ACCOUNTING RESEARCH,Acquirer Internal Control Weaknesses in the Market for Corporate Control,"Darrough, Masako; Huang, Rong; Zur, Emanuel",2018,
JFE,JOURNAL OF FINANCIAL ECONOMICS,Liquidity risk and maturity management over the credit cycle,"Mian, Atif; Santos, Joao A. C.",2018,
SEJ,STRATEGIC ENTREPRENEURSHIP JOURNAL,Managing the tensions between exploration and exploitation: The role of time,"Mathias, Blake D.; Mckenny, Aaron F.; Crook, T. Russell",2018,
ROFS,REVIEW OF FINANCIAL STUDIES,How Management Risk Affects Corporate Debt,"Pan, Yihui; Wang, Tracy Yue; Weisbach, Michael S.",2018,
QJE,QUARTERLY JOURNAL OF ECONOMICS,WHAT DO EXPORTERS KNOW?,"Dickstein, Michael J.; Morales, Eduardo",2018,133
JBE,JOURNAL OF BUSINESS ETHICS,Victim and Culprit? The Effects of Entitlement and Felt Accountability on Perceptions of Abusive Supervision and Perpetration of Workplace Bullying,"Mackey, Jeremy D.; Brees, Jeremy R.; McAllister, Charn P.; Zorn, Michelle L.; Martinko, Mark J.; Harvey, Paul",2018,153
HRM,HUMAN RESOURCE MANAGEMENT,Work-life support practices and customer satisfaction: The role of TMT composition and country culture,"Cogin, Julie A.; Sanders, Karin; Williamson, Ian O.",2018,
MISQ,MIS QUARTERLY,THE INTERACTION BETWEEN MICROBLOG SENTIMENT AND STOCK RETURNS: AN EMPIRICAL EXAMINATION,"Deng, Shuyuan; Huang, Zhijian (James); Sinha, Atish P.; Zhao, Huimin",2018,42
SMJ,STRATEGIC MANAGEMENT JOURNAL,How stigmatized are dismissed chief executives? The role of character questioning causal accounts and executive capital in dismissed CEO reemployment,"Schepker, Donald J.; Barker, Vincent L., III",2018,
JMAN,JOURNAL OF MANAGEMENT,Placing Job Characteristics in Context: Cross-Temporal Meta-Analysis of Changes in Job Characteristics Since 1975,"Wegman, Lauren A.; Hoffman, Brian J.; Carter, Nathan T.; Twenge, Jean M.; Guenole, Nigel",2018,
JBE,JOURNAL OF BUSINESS ETHICS,The Effects of Explicit and Implicit Ethics Institutionalization on Employee Life Satisfaction and Happiness: The Mediating Effects of Employee Experiences in Work Life and Moderating Effects of Work-Family Life Conflict,"Lee, Dong-Jin; Yu, Grace B.; Sirgy, M. Joseph; Singhapakdi, Anusorn; Lucianetti, Lorenzo",2018,
HR,HUMAN RELATIONS,Penis-whirling and pie-throwing: Norm-defying and norm-setting drama in the creative industries,"Sorensen, Bent Meier; Villadsen, Kaspar",2018,
JOOM,JOURNAL OF OPERATIONS MANAGEMENT,Purchasing managers' willingness to pay for attributes that constitute sustainability,"Goebel, Philipp; Reuter, Carsten; Pibernik, Richard; Sichtmann, Christina; Bals, Lydia",2018,62
ROFS,REVIEW OF FINANCIAL STUDIES,Optimal Capital Structure and Investment with Real Options and Endogenous Debt Costs,"Kumar, Praveen; Yerramilli, Vijay",2018,31
JOOM,JOURNAL OF OPERATIONS MANAGEMENT,"Addressing endogeneity in operations management research: Recent developments, common problems, and directions for future research","Lu, Guanyi; Ding, Xin (David); Peng, David Xiaosong; Chuang, Howard Hao-Chun",2018,64
HBR,HARVARD BUSINESS REVIEW,The Leader's Guide To Corporate Culture HOW TO MANAGE THE EIGHT CRITICAL ELEMENTS OF ORGANIZATIONAL LIFE,"Groysberg, Boris; Lee, Jeremiah; Price, Jesse; Cheng, J. Yo-Jud",2018,
RP,RESEARCH POLICY,"Deep transitions: Emergence, acceleration, stabilization and directionality","Schot, Johan; Kanger, Laur",2018,
AER,AMERICAN ECONOMIC REVIEW,A Model of Trading in the Art Market,"Lovo, Stefano; Spaenjers, Christophe",2018,
AER,AMERICAN ECONOMIC REVIEW,"Firms, Informality, and Development: Theory and Evidence from Brazil","Ulyssea, Gabriel",2018,
JMS,JOURNAL OF MANAGEMENT STUDIES,Achieving Social and Economic Equality by Unifying Business and Ethics: Adam Smith as the Cause of and Cure for the Separation Thesis,"Newbert, Scott L.",2018,
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Salesforce Incentives and Remanufacturing,"Kovach, Jeremy J.; Atasu, Atalay; Banerjee, Sumitro",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Product Placement in Old and New Media: Examining the Evidence for Concern,"Eagle, Lynne; Dahl, Stephan",2018,
RP,RESEARCH POLICY,Innovation and firm performance in developing countries: The case of Pakistani textile and apparel manufacturers,"Wadho, Waqar; Chaudhry, Azam",2018,
MISQ,MIS QUARTERLY,INFORMATION SPILLOVER AND SEMI-COLLABORATIVE NETWORKS IN INSURER FRAUD DETECTION,"Menon, Nirup M.",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Sustainable Innovativeness and the Triple Bottom Line: The Role of Organizational Time Perspective,"Longoni, Annachiara; Cagliano, Raffaella",2018,
SMJ,STRATEGIC MANAGEMENT JOURNAL,Strategic concepts as micro-level tools in strategic sensemaking,"Jalonen, Kari; Schildt, Henri; Vaara, Eero",2018,39
JAMS,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,Online group influence and digital product consumption,"Mu, Jifeng; Thomas, Ellen; Qi, Jiayin; Tan, Yong",2018,
ECMTR,ECONOMETRICA,"Activism, Strategic Trading, and Liquidity","Back, Kerry; Collin-Dufresne, Pierre; Fos, Vyacheslav; Li, Tao; Ljungqvist, Alexander",2018,
OR,OPERATIONS RESEARCH,Performance Guarantees and Optimal Purification Decisions for Engineered Proteins,"Martagan, Tugce; Krishnamurthy, Ananth; Leland, Peter A.; Maravelias, Christos T.",2018,
MS,MANAGEMENT SCIENCE,The Costs and Beliefs Implied by Direct Stock Ownership,"Bartha, Daniel",2018,64
JOOM,JOURNAL OF OPERATIONS MANAGEMENT,On doing relevant and rigorous experiments: Review and recommendations,"Lonati, Sirio; Quiroga, Bernardo F.; Zehnder, Christian; Antonakis, John",2018,64
SMJ,STRATEGIC MANAGEMENT JOURNAL,On the duality of political and economic stakeholder influence on firm innovation performance: Theory and evidence from Chinese firms,"Li, Jing; Xia, Jun; Zajac, Edward J.",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Translating Environmental Ideologies into Action: The Amplifying Role of Commitment to Beliefs,"Maxwell-Smith, Matthew A.; Conway, Paul J.; Wright, Joshua D.; Olson, James M.",2018,153
JOOM,JOURNAL OF OPERATIONS MANAGEMENT,Assessing the exchange of knowledge between operations management and other fields: Some challenges and opportunities,"Meredith, Jack R.; Pilkington, Alan",2018,
AR,ACCOUNTING REVIEW,"Because of ""Because'': Examining the Use of Causal Language in Relative Performance Feedback","Loftus, Serena; Tanlu, Lloyd J.",2018,
JM,JOURNAL OF MARKETING,"Clustering, Knowledge Sharing, and Intrabrand Competition: A Multiyear Analysis of an Evolving Franchise System","Butt, Moeen Naseer; Antia, Kersi D.; Murtha, Brian R.; Kashyap, Vishal",2018,
RP,RESEARCH POLICY,International research networks: Determinants of country embeddedness,"Graf, Holger; Kalthaus, Martin",2018,47
OR,OPERATIONS RESEARCH,Exact Solution of the Evasive Flow Capturing Problem,"Arslan, Okan; Jabali, Ola; Laporte, Gilbert",2018,66
AR,ACCOUNTING REVIEW,The Impact of Management Alumni Affiliation and Persuasion Tactics on Auditors' Internal Control Judgments,"Bhattacharjee, Sudip; Brown, J. Owen",2018,
ETP,ENTREPRENEURSHIP THEORY AND PRACTICE,Industry Gender Imprinting and New Venture Creation: The Liabilities of Women's Leagues in the Sports Industry,"Micelotta, Evelyn; Washington, Marvin; Docekalova, Iva",2018,
JAMS,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,"Gamified interactions: whether, when, and how games facilitate self-brand connections","Berger, Axel; Schlager, Tobias; Sprott, David E.; Herrmann, Andreas",2018,
RP,RESEARCH POLICY,On the value of foreign PhDs in the developing world: Training versus selection effects in the case of South Africa,"Mueller, Moritz; Cowan, Robin; Barnard, Helena",2018,
JM,JOURNAL OF MARKETING,Investigating the Influence of Characteristics of the New Product Introduction Process on Firm Value: The Case of the Pharmaceutical Industry,"Sharma, Amalesh; Saboo, Alok R.; Kumar, V.",2018,
AMR,ACADEMY OF MANAGEMENT REVIEW,COMPETITIVE LANDSCAPE SHIFTS: THE INFLUENCE OF STRATEGIC ENTREPRENEURSHIP ON SHIFTS IN MARKET COMMONALITY,"Withers, Michael C.; Ireland, R. Duane; Miller, Danny; Harrison, Joseph S.; Boss, David S.",2018,
JMIS,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,Impact of Online Word of Mouth on Channel Disintermediation for Information Goods,"Lee, Ho Cheung Brian; Li, Xinxin",2018,
JMR,JOURNAL OF MARKETING RESEARCH,Cashback Is Cash Forward: Delaying a Discount to Entice Future Spending,"Vana, Prasad; Lambrecht, Anja; Bertini, Marco",2018,55
JMAN,JOURNAL OF MANAGEMENT,Collective Pay for Performance: A Cross-Disciplinary Review and Meta-Analysis,"Nyberg, Anthony J.; Maltarich, Mark A.; Abdulsalam, Dhuha Dee; Essman, Spenser M.; Cragun, Ormonde",2018,
AOS,ACCOUNTING ORGANIZATIONS AND SOCIETY,The interplay between strategic risk profiles and presentation format on managers' strategic judgments using the balanced scorecard,"Cheng, Mandy M.; Humphreys, Merry A.; Zhang, Yichelle Y.",2018,70
JF,JOURNAL OF FINANCE,Anticompetitive Effects of Common Ownership,"Azar, Jose; Schmalz, Martin C.; Tecu, Isabel",2018,73
MKTGSC,MARKETING SCIENCE,Rising Prices Under Declining Preferences: The Case of the US Print Newspaper Industry,"Pattabhiramaiah, Adithya; Sriram, S.; Sridhar, Shrihari",2018,
HBR,HARVARD BUSINESS REVIEW,LINCOLN and the Art of Transformative LEADERSHIP,"Goodwin, Doris Kearns",2018,96
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Missed Opportunities in Preventing Hospital Readmissions: Redesigning Post-Discharge Checkup Policies,"Liu, Xiang; Hu, Michael; Helm, Jonathan E.; Lavieri, Mariel S.; Skolarus, Ted A.",2018,27
ROES,REVIEW OF ECONOMIC STUDIES,The Perils of Nominal Targets,"Armenter, Roc",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Can Anticipating Time Pressure Reduce the Likelihood of Unethical Behaviour Occurring?,"Koh, Hwee Ping; Scully, Glennda; Woodliff, David R.",2018,153
AMJ,ACADEMY OF MANAGEMENT JOURNAL,"PLANNING FOR FUTURE LEADERSHIP: PROCEDURAL RATIONALITY, FORMALIZED SUCCESSION PROCESSES, AND CEO INFLUENCE IN CEO SUCCESSION PLANNING","Schepker, Donald J.; Nyberg, Anthony J.; Ulrich, Michael D.; Wright, Patrick M.",2018,
HBR,HARVARD BUSINESS REVIEW,MANAGING OUR HUB ECONOMY,"Iansiti, Marco; Lakhani, Karin R.",2018,
POM,PRODUCTION AND OPERATIONS MANAGEMENT,When Does A Supply Chain Member Benefit from Vendor-Managed Inventory?,"Ru, Jun; Shi, Ruixia; Zhang, Jun",2018,
ECMTR,ECONOMETRICA,Surprised by the Hot Hand Fallacy? A Truth in the Law of Small Numbers,"Miller, Joshua B.; Sanjurjo, Adam",2018,86
JMR,JOURNAL OF MARKETING RESEARCH,The Asymmetric Impact of Context on Advantaged Versus Disadvantaged Options,"Evangelidis, Ioannis; Levav, Jonathan; Simonson, Itamar",2018,
ROFS,REVIEW OF FINANCIAL STUDIES,Lending Standards over the Credit Cycle,"Rodano, Giacomo; Serrano-Velarde, Nicolas; Tarantino, Emanuele",2018,
JPE,JOURNAL OF POLITICAL ECONOMY,The Determinants of Racial Differences in Parenting Practices,"Thompson, Owen",2018,
MS,MANAGEMENT SCIENCE,Bricks-and-Mortar Entry by Online Retailers in the Presence of Consumer Sales Taxes,"Arya, Anil; Mittendorf, Brian",2018,64
JBE,JOURNAL OF BUSINESS ETHICS,Political Connections and Firm Value in China: An Event Study,"Liu, Feng; Lin, Hui; Wu, Huiying",2018,152
JAR,JOURNAL OF ACCOUNTING RESEARCH,Procurement with Asymmetric Information About Fixed and Variable Costs,"Antle, Rick; Bogetoft, Peter",2018,56
JAP,JOURNAL OF APPLIED PSYCHOLOGY,"Linking Job-Relevant Personality Traits, Transformational Leadership, and Job Performance via Perceived Meaningfulness at Work: A Moderated Mediation Model","Frieder, Rachel E.; Wang, Gang; Oh, In-Sue",2018,
AR,ACCOUNTING REVIEW,Technological Peer Pressure and Product Disclosure,"Cao, Sean Shun; Ma, Guang; Tucker, Jennifer Wu; Wan, Chi",2018,93
AER,AMERICAN ECONOMIC REVIEW,Measuring and Bounding Experimenter Demand,"de Quidt, Jonathan; Haushofer, Johannes; Roth, Christopher",2018,108
HRM,HUMAN RESOURCE MANAGEMENT,"Complementary or conflictual? Formal participation, informal participation, and organizational performance","Litwin, Adam Seth; Eaton, Adrienne E.",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Integrating Servant Leadership into Managerial Strategy to Build Group Social Capital: The Mediating Role of Group Citizenship Behavior,"Linuesa-Langreo, Jorge; Ruiz-Palomino, Pablo; Elche-Hortelano, Dioni",2018,152
ROFS,REVIEW OF FINANCIAL STUDIES,Structural GARCH: The Volatility-Leverage Connection,"Engle, Robert F.; Siriwardane, Emil N.",2018,
SMJ,STRATEGIC MANAGEMENT JOURNAL,"Capabilities, technologies, and firm exit during industry shakeout: Evidence from the global solar photovoltaic industry","Furr, Nathan; Kapoor, Rahul",2018,
CAR,CONTEMPORARY ACCOUNTING RESEARCH,The Effect of CFO Personal Litigation Risk on Firms' Disclosure and Accounting Choices,"Levy, Hagit; Shalev, Ron; Zur, Emanuel",2018,
JBV,JOURNAL OF BUSINESS VENTURING,Going pro-social: Extending the individual-venture nexus to the collective level,"Branzei, Oana; Parker, Simon C.; Moroz, Peter W.; Gamble, Edward",2018,33
